;tribunnews;viva;suara;antaranews;mediaindonesia;kompas;idntimes;cnnindonesia;bisnisindonesia;jawapos;tempo;liputan6;tvone;metrotv;cnbcindonesia;republika;sindo;kontan;rri;pikiranrakyat;tirto;kumparan;disway;detik;katadata;bbc;bloombergtechnoz;detikx;cna
anies;0.059496567505720827;0.05263157894736842;0.0546218487394958;0.025380710659898477;0.06097560975609756;0.025139664804469275;0.12162162162162163;0.04838709677419355;0.03587443946188341;0.05825242718446602;0.02564102564102564;0.029411764705882353;0.03496503496503497;0.037037037037037035;0.013114754098360656;0.04938271604938271;0.016216216216216217;0.015706806282722512;0.0234375;0.0625;0.013333333333333334;0.02666666666666667;0.016260162601626018;0.006289308176100629;0.007874015748031496;0.125;0.0;0.0;
prabowo;0.7025171624713958;0.848297213622291;0.8109243697478992;0.9593908629441624;0.8536585365853658;0.8770949720670391;0.8513513513513513;0.8064516129032258;0.9282511210762332;0.8349514563106796;0.9145299145299145;0.9019607843137255;0.9370629370629371;0.9351851851851852;0.9770491803278688;0.7530864197530864;0.7297297297297297;0.9842931937172775;0.9609375;0.8333333333333334;0.9333333333333333;0.8666666666666667;0.959349593495935;0.949685534591195;0.952755905511811;0.75;0.963855421686747;0.0;
ganjar;0.2379862700228833;0.09907120743034056;0.13445378151260504;0.015228426395939087;0.08536585365853659;0.09776536312849161;0.02702702702702703;0.14516129032258066;0.03587443946188341;0.10679611650485436;0.05982905982905983;0.06862745098039216;0.027972027972027972;0.027777777777777776;0.009836065573770493;0.19753086419753085;0.25405405405405407;0.0;0.015625;0.10416666666666667;0.05333333333333334;0.10666666666666667;0.024390243902439025;0.0440251572327044;0.03937007874015748;0.125;0.03614457831325301;1.0;
imin;0.125;0.16666666666666666;0.125;0.0;0.5;0.0;0.0;0.15625;0.5;0.3333333333333333;0.0;0.043478260869565216;0.06666666666666667;0.03225806451612903;0.0;0.023255813953488372;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
gibran;0.375;0.08333333333333333;0.125;0.0;0.0;0.012048192771084338;0.041666666666666664;0.03125;0.0;0.5;0.11428571428571428;0.043478260869565216;0.0;0.0;0.1;0.046511627906976744;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
mahfud;0.5;0.75;0.75;1.0;0.5;0.9879518072289156;0.9583333333333334;0.8125;0.5;0.16666666666666666;0.8857142857142857;0.9130434782608695;0.9333333333333333;0.967741935483871;0.9;0.9302325581395349;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;;1.0
